airline=# select aircraft_rn, count(weight) as total from
airline-# (
airline(# select aircraft_rn, weight from luggage
airline(# )
airline-# group by aircraft_rn
airline-# order by total desc
airline-# limit 1;
 aircraft_rn | total
-------------+-------
 N-554FG     |   391
(1 row)


Time: 23.554 ms


airline=# select
airline-#   first_name,
airline-#   last_name,
airline-#   (current_date - dob)/365 as age,
airline-#   flight_hours,
airline-#   (current_date - hire_date)/365 as emp_years,
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 as hiring_age
airline-# from pilot
airline-# where
airline-#   (current_date - dob)/365 between 18 and 30 and  -- 18 <= age <= 30
airline-#   flight_hours >= 2000 and
airline-#   (current_date - dob)/365 - (current_date - hire_date)/365 >= 18; -- must have been hired above 18
 first_name | last_name  | age | flight_hours | emp_years | hiring_age
 Malia      | Blackburn  |  30 |         8437 |        11 |         19
 Clinton    | Chambers   |  26 |         4704 |         5 |         21
 Alina      | Jimenez    |  20 |         2292 |         2 |         18
 Jessie     | Browning   |  27 |         5453 |         6 |         21
 Patricia   | House      |  25 |         3910 |         4 |         21
 Alvin      | Conway     |  26 |         6813 |         8 |         18
 Darren     | Rodgers    |  27 |         3248 |         4 |         23
(120 rows)


Time: 1.675 ms


airline=# select * from employee
airline-# where wage > 100000
airline-#       and
airline-#       (address ~~ '%FL%' or
airline(#        address ~~ '%MA%' or
airline(#        address ~~ '%TN%');
 emp_id | first_name |  last_name  |   wage   |    dob     |                            address                            | hire_date
--------+------------+-------------+----------+------------+---------------------------------------------------------------+------------
      4 | Keely      | Keller      | 157468.8 | 1970-08-02 | 84 Holbrook Street, North Adams, MA, 01247                    | 2016-12-19
      8 | Barbara    | Tucker      |   261991 | 1968-08-04 | 3901 West End Avenue, Nashville, TN, 37205                    | 2006-08-28
      9 | Brice      | Kennedy     | 265886.8 | 1958-09-26 | 25 Wendys Way, Harwich, MA, 02645                             | 2007-08-08
     10 | Halle      | Lam         |   322693 | 1969-02-23 | 83 Oakdale Road, Newton, MA, 02459                            | 2003-07-07
     14 | Bridger    | Hampton     |   136886 | 2002-03-17 | 2205 Lindell Avenue, Nashville, TN, 37204                     | 2018-11-12
     15 | Emerson    | Leblanc     | 281273.7 | 1982-11-01 | 121 Alpine Way, Panama City, FL, 32404                        | 2005-07-02
     17 | Madilynn   | Chen        | 334229.4 | 1979-11-09 | 51 Edgar Road, Scituate, MA, 02066                            | 2002-11-09
     27 | Cristal    | Porter      | 154448.8 | 1994-12-16 | 22219 Panama City Beach Parkway, Panama City Beach, FL, 32413 | 2016-02-26
     44 | Alisson    | Harmon      | 261009.5 | 1977-12-08 | 3203 US Highway 98, Mexico Beach, FL, 32456                   | 2007-12-17
     45 | Talon      | Guzman      | 228695.5 | 1969-03-11 | 7703 Laird Street, Panama City, FL, 32408                     | 2009-11-26
     47 | Kyra       | Robbins     | 160881.4 | 2003-09-11 | 5415 Frank Hough Road, Panama City, FL, 32404                 | 2015-04-24
     49 | Dakota     | Marks       | 252281.7 | 1951-06-18 | 512 Danley Court, Nashville, TN, 37013                        | 2007-01-20
     54 | Wesley     | Macdonald   | 390114.5 | 1993-07-14 | 234 East Beach Drive, Panama City, FL, 32401                  | 1995-06-17
     62 | Adelaide   | Wright      |   222429 | 1952-07-13 | 1701 18th Avenue South, Nashville, TN, 37212                  | 2011-09-14
     80 | Penelope   | Schmidt     |   120090 | 1996-12-16 | 606 Spence Enclave Way, Nashville, TN, 37210                  | 2019-04-10
     81 | Carleigh   | Valenzuela  | 288446.2 | 2002-06-16 | 5908 Sedberry Road, Nashville, TN, 37205                      | 2005-12-26
     82 | Jenna      | Kelley      |   295966 | 1957-01-23 | 23128 Donalda Avenue, Port Charlotte, FL, 33954               | 2004-12-27
     86 | Devan      | Benjamin    | 377098.3 | 1978-06-18 | 195 Nursery Street, Springfield, MA, 01104                    | 1997-09-26
     87 | Kaitlyn    | Chan        | 151670.4 | 1995-12-04 | 3031 Casa Drive, Nashville, TN, 37214                         | 2016-10-04
     88 | Brodie     | Moon        | 138986.4 | 1977-03-03 | 9321 Amy Lane, Panama City Beach, FL, 32407                   | 2017-06-16
     91 | Cristal    | Ballard     | 337460.8 | 1950-01-18 | 5403 Illinois Avenue, Nashville, TN, 37209                    | 2000-10-07
     99 | Ishaan     | Compton     |   325260 | 1953-11-07 | 5620 Lilly Street, Panama City, FL, 32404                     | 2002-07-11
    108 | Carolyn    | Pearson     | 392741.9 | 1956-06-09 | 1515 Chandlee Avenue, Panama City, FL, 32405                  | 1995-04-15
    112 | Luka       | Ewing       |   415558 | 1982-06-22 | 700 Revels Drive, Nashville, TN, 37207                        | 1994-06-10
    124 | Akira      | Graves      | 215558.5 | 1950-06-24 | 64 Church Street, Hardwick, MA, 01031                         | 2011-02-04
    128 | Rachel     | Mcbride     |   257612 | 1989-03-11 | 555 North Dupont Avenue, Nashville, TN, 37115                 | 2008-05-02
    134 | Colton     | Marsh       |   120515 | 1986-04-18 | 3504 East 5th Street, Panama City, FL, 32401                  | 2019-04-01
    141 | Scarlett   | Turner      | 401499.9 | 1979-05-16 | 22219 Panama City Beach Parkway, Panama City Beach, FL, 32413 | 1995-10-09
    142 | Danna      | Giles       | 285864.1 | 2001-08-26 | 100 Birney Street, Peabody, MA, 01960                         | 2005-04-18
    157 | Carsen     | Donaldson   | 323100.7 | 1981-08-13 | 74 Heard Street, Chelsea, MA, 02150                           | 2001-12-16
    170 | Sandra     | Holloway    |   420994 | 1970-02-07 | 1819 14th Avenue, Nashville, TN, 37208                        | 1994-12-23
    171 | Shaylee    | Turner      | 305569.6 | 1961-02-13 | 8221 Surf Drive, Panama City, FL, 32408                       | 2003-01-25
    200 | Eli        | Newman      |   406951 | 1972-10-22 | 4113 Holiday Drive, Panama City, FL, 32408                    | 1994-03-20
    202 | Kristin    | Richmond    |   138775 | 1988-07-25 | 5 Westlund Avenue, Auburn, MA, 01501                          | 2017-12-17
    203 | Trystan    | Wolfe       | 378291.2 | 1953-02-13 | 502 Main Street, Walpole, MA, 02081                           | 1998-02-10
    210 | Valerie    | Banks       |   132500 | 1979-06-28 | 7549 Delancey Street, Youngstown, FL, 32466                   | 2018-02-09
    213 | Bella      | Shepard     |   229677 | 1960-03-06 | 3605 Normandy Place South, Nashville, TN, 37209               | 2010-12-18
    214 | Reese      | Bush        |   178941 | 1966-08-22 | 3035 Osprey Circle, Panama City, FL, 32405                    | 2014-01-05
    216 | Madilyn    | Mccormick   | 444278.2 | 1977-12-06 | 2375 Main Street, Palmer, MA, 01069                           | 1993-06-15
    223 | London     | Curtis      | 153240.8 | 2003-02-14 | 4050 Bryce Road, Nashville, TN, 37211                         | 2016-08-13
    224 | Juliette   | Johnson     | 314629.6 | 1951-02-10 | 1257 John Street, Nashville, TN, 37210                        | 2002-04-28
    227 | Jasper     | Bray        | 444685.9 | 1956-05-19 | 1432 Bell Trace Drive, Nashville, TN, 37013                   | 1991-08-07
    229 | Barbara    | Palmer      | 342896.8 | 1975-07-03 | 2527 Lisenby Avenue, Panama City, FL, 32405                   | 2000-01-06
    241 | Barbara    | Fritz       |   316351 | 1991-11-22 | 33 Linscott Road, Hingham, MA, 02043                          | 2003-12-07
    244 | Ryker      | Villa       |   249156 | 1970-12-09 | 190 High Street, Medford, MA, 02155                           | 2008-09-25
    250 | Patricia   | Mcdonald    | 215558.5 | 1954-10-17 | 19 Keyes Drive, Peabody, MA, 01960                            | 2011-04-15
    261 | Howard     | Peterson    | 435716.5 | 1971-06-25 | 11 Pine Point Road, Duxbury, MA, 02332                        | 1991-05-23
    262 | Gemma      | Mack        | 153482.4 | 1997-05-18 | 100 Birney Street, Peabody, MA, 01960                         | 2016-10-06
    267 | Dangelo    | Mccormick   | 269057.8 | 1992-01-26 | 2809 Briarcliff Road, Panama City, FL, 32405                  | 2006-08-18
    272 | Teagan     | Nguyen      |   184830 | 1959-08-27 | 24 Norman Street, Salem, MA, 01970                            | 2014-03-10
    277 | Rebekah    | Weber       | 378291.2 | 1988-09-23 | 257 Broadway, Lynn, MA, 01904                                 | 1996-03-20
    280 | Anastasia  | Mccann      | 367721.2 | 1962-05-03 | 104 Lakeridge Drive, Panama City, FL, 32405                   | 1997-07-18
    285 | Emiliano   | Sherman     | 454304.6 | 1976-09-09 | 4 Samuel Riggs Circle, Gloucester, MA, 01930                  | 1990-01-15
    291 | Enrique    | Mayer       | 436879.2 | 1990-03-23 | 178 Phillips Road, Bourne, MA, 02532                          | 1992-08-21
    294 | Anika      | Cortez      | 319944.8 | 1992-07-24 | 20270 Andover Avenue, Port Charlotte, FL, 33954               | 2002-08-04
    302 | Janet      | Mcdonald    | 196532.5 | 1978-08-03 | 1806 Boscobel Street, Nashville, TN, 37206                    | 2013-09-06
    306 | Malachi    | Kelly       | 385735.5 | 1956-08-16 | 240 54th Avenue North, Nashville, TN, 37209                   | 1995-04-17
    308 | Riley      | Small       | 315626.2 | 1976-12-19 | 4696 Bull Run Road, Ashland City, TN, 37015                   | 2002-10-20
    319 | Skye       | Barron      | 312228.7 | 1998-12-13 | 3609 Meadow Drive, Nashville, TN, 37215                       | 2003-12-11
    321 | Isis       | Carey       |   172750 | 1954-05-01 | 2375 Main Street, Palmer, MA, 01069                           | 2014-03-16
    327 | Clay       | Odonnell    |   282980 | 1974-03-06 | 57 Birdie Lane, Tewksbury, MA, 01876                          | 2004-09-28
    331 | Brenton    | Crane       |   174562 | 1950-02-05 | 17623 Norma Lane, Fountain, FL, 32438                         | 2014-11-21
    332 | Mitchell   | Mcdaniel    | 317287.2 | 1982-08-28 | 228 Wood Street, New Bedford, MA, 02745                       | 2002-10-14
    338 | Devan      | Colon       |   343984 | 1961-08-11 | 93 Alpine Avenue, Oak Bluffs, MA, 02568                       | 2000-04-05
    350 | Melina     | Maynard     | 414319.8 | 1989-11-25 | 88 Florence Street, New Bedford, MA, 02740                    | 1993-01-22
    362 | Kierra     | Oconnor     |   235264 | 1977-09-08 | 78 School Street, Woburn, MA, 01801                           | 2009-02-16
    365 | Maddox     | Page        |   112032 | 1959-05-24 | 103 North East Avenue, Panama City, FL, 32401                 | 2020-08-17
    366 | Heidi      | Newton      | 371224.4 | 1973-10-17 | 467 Biscayne Avenue Northwest, Palm Bay, FL, 32907            | 1998-10-21
    371 | Gael       | Henson      | 397075.6 | 1969-05-03 | 1123 Glenwood Avenue, Nashville, TN, 37204                    | 1997-08-22
    380 | Ryan       | Cohen       | 300813.1 | 1970-09-20 | 133 White Cap Way, Panama City Beach, FL, 32407               | 2003-10-26
    384 | Journey    | Miles       | 447675.7 | 1984-10-20 | 402 Carlton Place, Goodlettsville, TN, 37072                  | 1991-07-15
    390 | Adam       | Mcbride     | 220269.7 | 1980-05-18 | 4 Cutting Avenue, Worcester, MA, 01606                        | 2011-04-22
    394 | Jayden     | Pruitt      | 314297.4 | 1989-02-12 | 53 Great Woods Road, Saugus, MA, 01906                        | 2002-11-23
    399 | Alejandro  | Wood        |   252025 | 1983-05-21 | 435 Granite Street, Quincy, MA, 02169                         | 2007-08-26
    402 | Rudy       | Chaney      |   212614 | 2001-06-01 | 1113 West Trinity Lane, Nashville, TN, 37218                  | 2011-02-10
    420 | Bentley    | Hampton     | 304935.4 | 1989-04-03 | 511 Norton Avenue, Nashville, TN, 37207                       | 2003-11-10
    425 | Julio      | Keith       | 316622.8 | 1971-05-23 | 11 Water Street, Holbrook, MA, 02343                          | 2002-01-09
    431 | Devan      | Wolf        |   139640 | 1954-08-01 | 95 Central Street, Springfield, MA, 01105                     | 2018-02-10
    435 | Ariella    | Greene      | 209276.9 | 1988-07-24 | 11 Proctor Circle, Peabody, MA, 01960                         | 2011-04-24
    444 | Jordan     | Kelly       |   393512 | 1958-12-26 | 1211 Rock Creek Trce, Nashville, TN, 37189                    | 1996-02-11
    453 | Rachael    | Wong        |   423712 | 1986-04-10 | 400 US Highway 98, Mexico Beach, FL, 32456                    | 1994-12-28
    473 | Lila       | Everett     | 444036.6 | 1974-10-27 | 1400 Rosa L Parks Boulevard, Nashville, TN, 37208             | 1990-07-01
    474 | Dayanara   | Castillo    | 376720.8 | 1987-12-19 | 1701 18th Avenue South, Nashville, TN, 37212                  | 1998-11-08
    479 | Brenna     | Terrell     |   195400 | 1975-12-03 | 39 Newhall Street, Lynn, MA, 01902                            | 2012-06-22
    482 | Julissa    | Turner      | 156019.2 | 1963-09-28 | 123 Blossom Road, Westport, MA, 02790                         | 2016-10-23
    484 | Adrienne   | Mueller     | 184739.4 | 1964-12-04 | 2729 East 14th Street, Panama City, FL, 32401                 | 2013-06-07
    490 | Kaitlyn    | Cannon      | 314297.4 | 1989-03-24 | 308 School Avenue, Panama City, FL, 32401                     | 2002-08-27
    499 | Demarcus   | Benjamin    | 330937.6 | 1950-08-06 | 314 Lallemand Court, Nashville, TN, 37211                     | 2000-06-19
    500 | Ryan       | Krueger     | 437211.4 | 1978-03-07 | 4696 Bull Run Road, Ashland City, TN, 37015                   | 1991-01-16
    503 | Danna      | Davies      | 355218.4 | 1963-10-14 | 404 Summit Oaks Drive, Nashville, TN, 37221                   | 2000-08-10
    505 | Karlee     | Lozano      | 224603.4 | 1955-03-21 | 819 Beazer Lane, Nashville, TN, 37013                         | 2010-11-06
    506 | Sharon     | Stevenson   | 154207.2 | 1960-11-14 | 3035 South Highway A1A, Melbourne Beach, FL, 32951            | 2016-07-03
    515 | Trevin     | Francis     | 306203.8 | 1967-08-24 | 599 Cambridge Street, Cambridge, MA, 02141                    | 2003-11-06
    518 | Jayson     | Tate        | 393089.2 | 1957-05-23 | 467 Biscayne Avenue Northwest, Palm Bay, FL, 32907            | 1996-03-04
    528 | Rigoberto  | Larsen      |   119155 | 1976-04-02 | 5788 Cane Ridge Road, Nashville, TN, 37013                    | 2019-03-12
    535 | Elisha     | Johnson     | 470733.4 | 1952-06-03 | 615 Long Hunter Court, Nashville, TN, 37217                   | 1990-02-26
    540 | Marina     | English     | 141100.4 | 1970-10-02 | 30 Windermere Drive, Agawam, MA, 01030                        | 2017-12-10
    546 | Sara       | Walter      |   159160 | 1999-01-24 | 6823 Forsythe Drive, Panama City, FL, 32404                   | 2016-01-22
    549 | Charlee    | Zuniga      | 195037.6 | 1989-03-24 | 3 Dayton Street, Chelmsford, MA, 01863                        | 2013-06-09
    554 | Lorelai    | Peck        | 277257.1 | 1998-04-28 | 234 East Beach Drive, Panama City, FL, 32401                  | 2005-07-09
    556 | Sterling   | Noble       |   404233 | 1972-01-03 | Tyndall Drive, Tyndall Air Force Base, FL, 32403              | 1994-05-11
    579 | Justice    | Callahan    | 314765.5 | 1961-12-13 | 100 Birney Street, Peabody, MA, 01960                         | 2003-03-08
    584 | Mallory    | Townsend    | 456645.1 | 1982-04-21 | 1208 Elkader Court North, Nashville, TN, 37013                | 1991-05-10
    587 | Seamus     | Frost       | 288446.2 | 1984-02-12 | 4911 Alameda Street, Panama City, FL, 32404                   | 2005-02-03
    589 | Demarcus   | Humphrey    | 239114.5 | 1967-07-21 | 68 Hampstead Place, Athol, MA, 01331                          | 2009-09-08
    594 | Danika     | Reynolds    |   121450 | 1955-10-21 | 1025 West 19th Street, Panama City, FL, 32405                 | 2019-12-10
    595 | Darryl     | Mccullough  | 230945.4 | 1995-01-19 | 2707 Eden Street, Nashville, TN, 37208                        | 2010-12-03
    597 | Angelica   | George      |   182414 | 1995-08-03 | 1738 Annabellas Drive, Panama City Beach, FL, 32407           | 2013-07-23
    598 | Jeffrey    | Lowery      | 332024.8 | 1960-02-11 | 605 Main Street, Watertown, MA, 02472                         | 2000-04-22
    607 | Dylan      | Maddox      | 336992.7 | 1997-09-08 | 253 Colt Drive, Nashville, TN, 37221                          | 2001-11-16
    632 | Graham     | Ryan        |   375543 | 1988-01-16 | 517 Wesley Avenue, Nashville, TN, 37207                       | 1998-09-16
    634 | Yasmin     | Day         |   411934 | 1964-02-23 | 66 Bradford Road, Braintree, MA, 02184                        | 1994-10-02
    642 | Jazlynn    | Lambert     | 318585.8 | 1977-03-11 | 3505 Albee Drive, Nashville, TN, 37076                        | 2001-09-01
    650 | Micah      | Hanson      | 315399.7 | 1999-06-21 | 53 Greenwood Avenue, Wakefield, MA, 01880                     | 2003-08-11
    665 | Saul       | Hebert      | 270764.1 | 1954-04-19 | 2732 Rosedale Place, Nashville, TN, 37211                     | 2007-09-15
    667 | Cali       | Khan        | 166589.2 | 1989-02-06 | 68 Hampstead Place, Athol, MA, 01331                          | 2015-10-24
    669 | Carsen     | Carroll     | 258095.2 | 2000-04-14 | 270 Tampa Drive, Nashville, TN, 37211                         | 2008-03-05
    683 | Erika      | Gonzales    | 350507.2 | 1965-05-18 | 95 Claiborne Street, Nashville, TN, 37210                     | 2000-08-02
    692 | Alyvia     | Avila       | 140994.7 | 1955-07-14 | 615 Florida Avenue, Lynn Haven, FL, 32444                     | 2017-10-07
    695 | Keith      | Melton      |   109040 | 1993-07-20 | 1738 Annabellas Drive, Panama City Beach, FL, 32407           | 2020-06-12
    697 | Justus     | Fisher      |   297627 | 1960-12-06 | 2909 Minnesota Avenue, Lynn Haven, FL, 32444                  | 2005-04-09
    698 | Jamie      | Sharp       | 139197.8 | 1960-08-15 | 517 Wesley Avenue, Nashville, TN, 37207                       | 2017-04-20
    716 | Kristin    | Tanner      | 332749.6 | 1953-04-08 | 8529 Old Harding Lane, Nashville, TN, 37221                   | 2000-07-24
    721 | Frances    | Mcclure     |   336736 | 1988-01-20 | 30 Curtis Road, Milton, MA, 02186                             | 2000-10-15
    734 | Gracelyn   | Simmons     | 448959.2 | 1964-01-05 | 6 Greenleaf Drive, Merrimac, MA, 01860                        | 1992-06-10
    744 | Holden     | Winters     | 163463.5 | 1991-10-15 | 7405 River Park Drive, Nashville, TN, 37221                   | 2015-12-14
    752 | Edward     | Wang        |   119920 | 1997-09-25 | 310 West Trinity Lane, Nashville, TN, 37207                   | 2019-12-07
    758 | Cristina   | Pugh        |   357725 | 1961-07-10 | 7809 Highway 2302, Panama City, FL, 32409                     | 1999-11-25
    765 | Tucker     | Chase       | 441937.7 | 1957-01-26 | 208 Solitude Circle, Goodlettsville, TN, 37072                | 1993-01-23
    791 | Nikolai    | Sheppard    |   260028 | 1962-02-25 | 38 Renwick Road, Melrose, MA, 02176                           | 2008-05-20
    797 | Giancarlo  | Molina      | 356305.6 | 1998-11-15 | 804 Dry Creek Road, Goodlettsville, TN, 37072                 | 2000-04-04
    802 | Jaslyn     | Chung       | 430703.3 | 1990-04-12 | 1313 Paulson Way, Nashville, TN, 37013                        | 1993-12-14
    811 | Tucker     | Barnett     | 360367.5 | 1975-02-23 | 6718 Keithley Road, Panama City, FL, 32404                    | 1999-02-12
    815 | Rylee      | Martinez    |   277544 | 1952-03-25 | 312 North Cove Boulevard, Panama City, FL, 32401              | 2005-10-19
    818 | Kristian   | Bryant      | 211828.8 | 1953-12-08 | 154 Boca Lagoon Drive, Panama City Beach, FL, 32408           | 2011-05-06
    831 | Charlie    | Patel       | 258095.2 | 1971-12-21 | 2909 Minnesota Avenue, Lynn Haven, FL, 32444                  | 2008-11-27
    833 | Reid       | Roberts     | 257128.8 | 1966-05-24 | 63 Dorchester Street, Worcester, MA, 01604                    | 2008-08-26
    834 | Kirsten    | Phillips    |   179696 | 1979-04-18 | 17 Elm Street, Cambridge, MA, 02139                           | 2014-07-01
    842 | Charlie    | Berry       | 296690.8 | 1982-10-02 | 20270 Andover Avenue, Port Charlotte, FL, 33954               | 2003-04-18
    843 | Deborah    | Macdonald   |   381583 | 1972-09-24 | 34 Harris Street, Brookline, MA, 02446                        | 1997-12-27
    844 | Ernest     | Horne       | 332236.2 | 1972-11-24 | 14 Olympia Street, Norton, MA, 02766                          | 2002-04-18
    845 | Leyla      | Velez       |   183773 | 1968-08-22 | 312 Shepherd Hills Drive, Nashville, TN, 37115                | 2014-06-22
    851 | Ross       | Chen        | 266656.9 | 1991-04-26 | 241 Methuen Street, Lowell, MA, 01850                         | 2007-02-21
    852 | Makai      | Gallegos    | 250605.6 | 1955-01-15 | 1602 East 14th Court, Lynn Haven, FL, 32444                   | 2008-02-11
    862 | Aisha      | Diaz        | 387049.2 | 1961-03-08 | 190 High Street, Medford, MA, 02155                           | 1995-04-27
    867 | Elaine     | Tyler       |   443191 | 1967-11-04 | 6080 Frontier Lane, Nashville, TN, 37211                      | 1991-09-20
    868 | Mckinley   | Brady       | 343621.6 | 1982-10-21 | 5119 Marla Drive, Panama City, FL, 32404                      | 2000-01-14
